,Name & Summary,Categories,Author(s),Last Update
0,"Ideal Industrial Modpack  | 158 Mods | 1,098 Downloads  A bunch of mods around GregTech. All this on 1.12.2.",,speeedcraft_yt,3 days ago
1,MeisterCraft  | 162 Mods | 610 Downloads  Spinoffs of different modpacks for private server usage,,TheMusicMeister1,4 days ago
2,All_of_Tech  | 182 Mods | 314 Downloads  read the title,,Zafaranec,1 week ago
3,"DreamsPack  | 57 Mods | 69 Downloads  Modpack based on Gregtech , it has era progression , you use at least 2G of ram",,DreamerLMX,1 week ago
4,"TerraFirmaGreg  | 152 Mods | 7,902 Downloads  Modpack based on the GregTech and TerraFirmaCraft on 1.12.2.",,speeedcraft_yt,1 week ago
5,Omnifactory Self-Torture Edition  | 152 Mods | 626 Downloads  When regular Omnifactory isn't enough,,notmywing,1 week ago
6,Hacksit  | 102 Mods | 2 Downloads  Super light Tech based modpack,,Trident_for_u,3 weeks ago
7,"Pluma, a Journey to the Future!  | 187 Mods | 284 Downloads  An Immersive and Progressive Experience at your own hands",,ArtpokeBr,4 weeks ago
8,TSRo10 - The Square Root of 10  | 69 Mods | 0 Downloads  A Gregtech-based progression pack,,Talan1221,1 month ago
9,Scientia et Sapientia  | 104 Mods | 35 Downloads  A Research Based Techpack for Servers,,blackoutspur,1 month ago
10,SquidCraft - Bullsquid Discord.  | 117 Mods | 60 Downloads  The SquidCraft Modpack for The BullSquid.com Discord Server,,"Dannsync, Voxelized",1 month ago
11,Technological Journey  | 110 Mods | 280 Downloads  A trip through technology.,,Braggestsage833,1 month ago
12,GTCE Training  | 115 Mods | 759 Downloads  Gregtech Community Edition Training,,ヘタレイ,1 month ago
13,GregTech with everything  | 24 Mods | 23 Downloads  Everything GregTech for 1.12.2,,flower_heart,1 month ago
14,"Darkest Journey 2  | 253 Mods | 3,676 Downloads  Grow stronger and stronger as you delve deeper into the Dephts of this Expert Questing Pack",,Shattered2909,1 month ago
15,ArchitPack Greg 2  | 66 Mods | 665 Downloads  GregTech CE + Gregicality | Custom Gregified Recipes | Light & Balanced,,ArchitektRadim,2 months ago
16,Stogacraft  | 24 Mods | 31 Downloads  For players on the stogacraft server,,KCtops100,2 months ago
17,"Cosmic Chaos  | 187 Mods | 1,919 Downloads  A Gregicality pack set in space",,Filostorm,2 months ago
18,ColonyBox  | 182 Mods | 95 Downloads  Hybrid pack for small community servers,,aDDOS12,2 months ago
19,(Probably) The Future  | 88 Mods | 11 Downloads  A Modpack revolving around various tech mods.,,zaprit,2 months ago
0,"MoleCraft Tech / Explore / Build / Magic  | 129 Mods | 102 Downloads  Detailed landscapes, multiple dimensions endless machines...",,poshbakerloo,2 months ago
1,PainCraft  | 166 Mods | 11 Downloads  Gregtech focused modepack!,,"Duoslow_, Duoquote",2 months ago
2,a new day 2  | 289 Mods | 11 Downloads  basicly do whatever with the mods in pack,,mrcreator3483,2 months ago
3,Ideal Entropy Modpack  | 173 Mods | 345 Downloads  Just the right amount of chaos,,joebrands,3 months ago
4,"Gregicality Skyblock Edition  | 134 Mods | 9,295 Downloads  Gregicality Skyblock Edition",,"decal06, irgendwer00, hjaeee",3 months ago
5,Magical Mechinations  | 159 Mods | 109 Downloads  The Border between Magic and Technology,,ratthewtheplaguebringer,3 months ago
6,TechHaven 14  | 102 Mods | 7 Downloads  TechHaven modpack for TechHaven!,,RealNovius,3 months ago
7,MaxTech  | 132 Mods | 4 Downloads  A Modpack with a focus on Tech and Magic,,Celres,3 months ago
8,Engineer Gaming  | 66 Mods | 97 Downloads  Conquer the world with your own handiwork,,MinDoth,3 months ago
9,the milk men  | 150 Mods | 93 Downloads  Some of our favorite mods wrapped in one.,,buddyspeck1,3 months ago
10,Project Velocity  | 288 Mods | 22 Downloads  Selfmade allrounder ModPack,,real_dafeist,4 months ago
11,almorcraft  | 66 Mods | 0 Downloads  a nice mod pack with fantasy and military elements,,theyellowfire,4 months ago
12,Earth Gregtech  | 72 Mods | 43 Downloads  Gregtech CE mod pack with earth map and techguns.,,redstonepopsbloons,4 months ago
13,Hi-Tech pack  | 112 Mods | 33 Downloads  Pack for minecraft server,,xxalximikxx,4 months ago
14,ReModded: Galaxy Enigma (WIP)  | 123 Mods | 150 Downloads  What can better than space and a lot of machines?,,SirGuniek,4 months ago
15,Bees and Tech (B33s and T3ch)  | 407 Mods | 105 Downloads  1.12.2 modpack | 1.0 in the middle of 2021,,rudebeetle,4 months ago
16,Void Sleep  | 101 Mods | 454 Downloads  A progression-based hardcore tech pack.,,Zkii,5 months ago
17,Tech and Magic vs Parasites  | 124 Mods | 3 Downloads  Tech and magic mods have been packed in along with as many dimensions as possible.,,triptikon9,5 months ago
18,"TIMM in the Sky  | 496 Mods | 49 Downloads  TIMM stands for The Impossible Minecraft Modpack, and surprise! It is played in a Skyblock environment!",,Sataana,5 months ago
19,"The Eternal Tech  | 189 Mods | 49 Downloads  Build plant, explorate other world, build plant in other worlds. Nothing can stop your creativity.",,ilcrono,5 months ago
0,"TechFull  | 70 Mods | 48 Downloads  Modpack for Technology and Exploration, play with your friends.",,ZamTeam,5 months ago
1,"ArchitPack Greg  | 53 Mods | 1,609 Downloads  OLD PROJECT, TRY ArchitPack Greg 2! | Based on GregTech CE",,ArchitektRadim,5 months ago
2,c6opka GregTech Tinker Cosmo Craft  | 217 Mods | 303 Downloads  Hardcore Industrial modpack on hard difficulty,,for4mmc,5 months ago
3,The Lost Sound Custom  | 161 Mods | 76 Downloads  remastered version of mech and magic lite with added and updated mods,,johnny33445566,6 months ago
4,SwagVille  | 190 Mods | 0 Downloads  Tech and Magic in skyblock,,firerhombus4873,6 months ago
5,TechnoSnail (Technological Modpack)  | 66 Mods | 21 Downloads  TechnoSnail is a tech mod- Doesn't require a strong computer too run!,,snaildos,6 months ago
6,ConstructoCraft  | 162 Mods | 27 Downloads  a modpack made for you to build to your heart's content.,,RucksackHeiko97,7 months ago
7,ChrispyGamerPack  | 137 Mods | 98 Downloads  Technology based adventure RPG,,Chrispy_ENT,7 months ago
8,"Mobs&Dimensions 2  | 163 Mods | 2,762 Downloads  Many mobs, many dimensions, much magic and a bit tech!",,"ACGaming56, AnvilcraftMC, LordMZTE, leytilera",7 months ago
9,UltraZD  | 110 Mods | 0 Downloads  The Modpack with tons of possibilities!!!,,nathananan,7 months ago
10,GT GTC  | 110 Mods | 3 Downloads  A GregTech questing pack,,GamingTestCorp,8 months ago
11,"SnailCraft (Multiplayer ModPack)  | 102 Mods | 206 Downloads  A multiplayer modpack. Download it, hit multiplayer, type in the ip (In description) and your in. Enjoy.",,snaildos,8 months ago
12,KTC Pack  | 69 Mods | 165 Downloads  Intended for use as a single player or private server.,,korbin1995,8 months ago
